phi, e_xx, e_yy, e_zz, e_yz, e_xz, e_xy
0, -0.00049266, 0.0018786600000000005, -0.00049266, 0.0, 0.0, 0.0
1, -0.0004025591278656147, 0.0018824873608194671, -0.0005867242929628413, 0.0, 0.0, 0.000107307100758569
2, -0.00032062206742792187, 0.0018940277328594816, -0.0006806098640223202, 0.0, 0.0, 0.0002177299084856579
3, -0.00024701183420264636, 0.0019134156575042996, -0.000774288114724002, 0.0, 0.0, 0.0003307522297759883
4, -0.0001818658163268397, 0.0019407601947511932, -0.0008677305097652416, 0.0, 0.0, 0.00044584977251553717
5, -0.00012529541759599341, 0.001976144574876586, -0.0009609085856873125, 0.0, 0.0, 0.0005624916482703186
6, -7.738577257062967e-05, 0.002019625922124575, -0.0010537939595456525, 0.0, 0.0, 0.000680141893031894
7, -3.819553452699282e-05, 0.0020712350511898356, -0.0011463583375555836, 0.0, 0.0, 0.0007982610021313578
8, -7.756736826572816e-06, 0.00213097633706704, -0.0012385735237108726, 0.0, 0.0, 0.0009163074750946526
9, 1.3925271922308465e-05, 0.0021988276586374605, -0.0013304114283725083, 0.0, 0.0, 0.001033739366184721
10, 2.687181874012007e-05, 0.002274740416160883, -0.0014218440768250767, 0.0, 0.0, 0.0011500158363603732
11, 3.113082322121012e-05, 0.002358639622638057, -0.0015128436177981317, 0.0, 0.0, 0.001264598702377789
12, 2.677664078350725e-05, 0.0024504240688059905, -0.0016033823319499597, 0.0, 0.0, 0.0013769539787683587
13, 1.390983266020163e-05, 0.0025499665613262033, -0.0016934326403111625, 0.0, 0.0, 0.0014865534084460472
14, -7.3431367281619445e-06, 0.002657114233525037, -0.001782967112685476, 0.0, 0.0, 0.0015928759777285814
15, -3.6830274183479365e-05, 0.002771688927845832, -0.0018719584760052755, 0.0, 0.0, 0.0016954094115994576
16, -7.437450288708014e-05, 0.002893487648975833, -0.001960379622639215, 0.0, 0.0, 0.0017936516450918882
17, -0.00011977417707506397, 0.0030222830864165564, -0.0020482036186494747, 0.0, 0.0, 0.0018871122667412303
18, -0.00017280366481238176, 0.0031578242050755937, -0.002135403711996099, 0.0, 0.0, 0.001975313930128992
19, -0.000233213997259135, 0.0032998369022709585, -0.00222195334068593, 0.0, 0.0, 0.00205779372962895
20, -0.000300733582640116, 0.003448024729356642, -0.002307826140863642, 0.0, 0.0, 0.0021341045365640314
21, -0.0003750689829510462, 0.00360206967600049, -0.0023929959548424336, 0.0, 0.0, 0.002203816292091125
22, -0.0004559057512627563, 0.0037616330149733575, -0.0024774368390719083, 0.0, 0.0, 0.002266517253249609
23, -0.0005429093273182852, 0.00392635620514222, -0.0025611230720407312, 0.0, 0.0, 0.0023218151887377594
24, -0.000635725988957827, 0.004095861850199923, -0.002644029162111655, 0.0, 0.0, 0.002369338521119034
25, -0.0007339838567532897, 0.004269754710511123, -0.0027261298552865134, 0.0, 0.0, 0.002408737412307059
26, -0.0008372939490880978, 0.004447622765307834, -0.002807400142898839, 0.0, 0.0, 0.0024396847893336866
27, -0.0009452512847794695, 0.004629038322329647, -0.002887815269231741, 0.0, 0.0, 0.0024618773075681757
28, -0.0010574360302098421, 0.004813559171873177, -0.0029673507390587414, 0.0, 0.0, 0.002475036248727053
29, -0.0011734146878119311, 0.0050007297820930914, -0.0030459823251052518, 0.0, 0.0, 0.0024789083511930006
30, -0.0012927413226383774, 0.005190082532283609, -0.0031236860754284414, 0.0, 0.0, 0.0024732665703467035
31, -0.0014149588236423408, 0.0053811389807647955, -0.0032004383207132293, 0.0, 0.0, 0.002457910766807487
32, -0.0015396001962000906, 0.005573411163902659, -0.003276215681482186, 0.0, 0.0, 0.002432668320676245
33, -0.0016661898823207844, 0.0057664029227063, -0.0033509950752171496, 0.0, 0.0, 0.0023973946700770496
34, -0.001794245104912623, 0.005959611253369328, -0.003424753723390384, 0.0, 0.0, 0.002351973772501428
35, -0.0019232772324083726, 0.00615252767805664, -0.0034974691584031383, 0.0, 0.0, 0.0022963184876709465
36, -0.002052793159997347, 0.006344639632181763, -0.003569119230429499, 0.0, 0.0, 0.002230370880848971
37, -0.002182296703665188, 0.006535431864374275, -0.003639682114163437, 0.0, 0.0, 0.0021541024457506115
38, -0.0023112900032075624, 0.006724387845301599, -0.003709136315467008, 0.0, 0.0, 0.0020675142464203385
39, -0.002439274930359092, 0.0069109911814847404, -0.0037774606779176776, 0.0, 0.0, 0.0019706369776689705
