Angle,E1(eV),E2(eV),E3(eV),E4(eV),Ec,Ehh,Elh,Eg
0.00,-0.000023,-0.000023,0.000036,0.000036,-0.000040,0.000036,-0.000023, -0.000076
10.00,-0.000042,-0.000042,0.000065,0.000065,-0.000071,0.000065,-0.000042, -0.000137
20.00,-0.000082,-0.000082,0.000120,0.000120,-0.000116,0.000120,-0.000082, -0.000236
30.00,-0.000132,-0.000132,0.000188,0.000188,-0.000170,0.000188,-0.000132, -0.000358
40.00,-0.000187,-0.000187,0.000259,0.000259,-0.000225,0.000259,-0.000187, -0.000485
50.00,-0.000238,-0.000238,0.000326,0.000326,-0.000271,0.000326,-0.000238, -0.000597
60.00,-0.000282,-0.000282,0.000379,0.000379,-0.000299,0.000379,-0.000282, -0.000677
70.00,-0.000313,-0.000313,0.000410,0.000410,-0.000300,0.000410,-0.000313, -0.000710
80.00,-0.000332,-0.000332,0.000420,0.000420,-0.000271,0.000420,-0.000332, -0.000691
90.00,-0.000339,-0.000339,0.000409,0.000409,-0.000217,0.000409,-0.000339, -0.000626
100.00,-0.000337,-0.000337,0.000385,0.000385,-0.000148,0.000385,-0.000337, -0.000533
110.00,-0.000324,-0.000324,0.000350,0.000350,-0.000082,0.000350,-0.000324, -0.000433
120.00,-0.000301,-0.000301,0.000311,0.000311,-0.000033,0.000311,-0.000301, -0.000344
130.00,-0.000263,-0.000263,0.000265,0.000265,-0.000005,0.000265,-0.000263, -0.000270
140.00,-0.000211,-0.000211,0.000209,0.000209,0.000007,0.000209,-0.000211, -0.000202
150.00,-0.000151,-0.000151,0.000148,0.000148,0.000011,0.000148,-0.000151, -0.000136
160.00,-0.000096,-0.000096,0.000091,0.000091,0.000014,0.000091,-0.000096, -0.000077
170.00,-0.000053,-0.000053,0.000046,0.000046,0.000022,0.000046,-0.000053, -0.000024
180.00,-0.000036,-0.000036,0.000023,0.000023,0.000040,0.000023,-0.000036, 0.000016
